Time resolution is 1 ps
Starting I2S testbench...
T=0 | sim_L=a5c3 sim_R=1234 | rx_L=xxxx rx_R=xxxx | tx_out=x
T=67000 | sim_L=a5c3 sim_R=1234 | rx_L=0000 rx_R=0000 | tx_out=0
T=11433000 | sim_L=a6c3 sim_R=1244 | rx_L=0000 rx_R=0000 | tx_out=0
T=11788000 | sim_L=a6c3 sim_R=1244 | rx_L=0000 rx_R=0000 | tx_out=x
T=17471000 | sim_L=a6c3 sim_R=1244 | rx_L=0000 rx_R=0000 | tx_out=0
T=23510000 | sim_L=a6c3 sim_R=1244 | rx_L=0000 rx_R=a6c3 | tx_out=x
T=29193000 | sim_L=a6c3 sim_R=1244 | rx_L=0000 rx_R=a6c3 | tx_out=0
T=34876000 | sim_L=a7c3 sim_R=1254 | rx_L=0000 rx_R=a6c3 | tx_out=0
T=35231000 | sim_L=a7c3 sim_R=1254 | rx_L=1244 rx_R=a6c3 | tx_out=x
T=35587000 | sim_L=a7c3 sim_R=1254 | rx_L=1244 rx_R=a6c3 | tx_out=0
T=46953000 | sim_L=a7c3 sim_R=1254 | rx_L=1244 rx_R=a7c3 | tx_out=x
T=47308000 | sim_L=a7c3 sim_R=1254 | rx_L=1244 rx_R=a7c3 | tx_out=0
T=58319000 | sim_L=a8c3 sim_R=1264 | rx_L=1244 rx_R=a7c3 | tx_out=0
T=58320000 CHECK left:  rx=1244  sim=a8c3  MISMATCH
T=58320000 CHECK right: rx=a7c3  sim=1264  MISMATCH
T=58675000 | sim_L=a8c3 sim_R=1264 | rx_L=1254 rx_R=a7c3 | tx_out=x
T=59030000 | sim_L=a8c3 sim_R=1264 | rx_L=1254 rx_R=a7c3 | tx_out=0
T=70396000 | sim_L=a8c3 sim_R=1264 | rx_L=1254 rx_R=a8c3 | tx_out=x
T=70751000 | sim_L=a8c3 sim_R=1264 | rx_L=1254 rx_R=a8c3 | tx_out=1
T=71107000 | sim_L=a8c3 sim_R=1264 | rx_L=1254 rx_R=a8c3 | tx_out=0
T=71462000 | sim_L=a8c3 sim_R=1264 | rx_L=1254 rx_R=a8c3 | tx_out=1
T=71817000 | sim_L=a8c3 sim_R=1264 | rx_L=1254 rx_R=a8c3 | tx_out=0
T=72527000 | sim_L=a8c3 sim_R=1264 | rx_L=1254 rx_R=a8c3 | tx_out=1
